ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231210094218_,基准：行情8+预测5+上下35+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0693,0.0238,5.6352,31.7554,0.0229,0.7537,0.0225,5.7952
20231210102243_,行情8+预测5+上下35+size128+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,128,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0914,0.024,7.4285,55.1821,0.0233,0.8732,0.0234,5.753
20231210111704_,行情8+预测5+上下35+size64+小波rbio3.1,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",rbio3.1,0.1073,0.0361,8.7222,76.0768,0.0294,0.9803,0.0288,6.5409
20231210121447_,行情8(baidu_idx+all因子)+预测5+上下35+size64+小波rbio3.1,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",rbio3.1,0.0691,0.0226,5.6184,31.5667,0.0232,0.825,0.023,5.5946
20231210130902_,行情8(+close)+预测5+上下35+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1207,0.0337,9.8138,96.3097,0.0235,0.7657,0.0231,5.5027
20231210140317_,行情8(+baidu)+预测5+上下35+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0738,0.0251,6.0032,36.0382,0.0227,0.8365,0.0226,6.6943
20231210145833_,行情8(+baidu+因子10)+预测5+上下35+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1072,0.035,8.7132,75.9204,0.0276,0.9037,0.027,6.4882
20231210155339_,行情8(+因子10)+预测5+上下35+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1223,0.0342,9.9411,98.826,0.0265,0.8812,0.0262,6.0705
20231210164626_,行情8+预测3+上下35+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,35,3,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0789,0.0231,6.4001,40.9616,0.0198,0.7174,0.0199,4.8825
20231210173011_,行情8+预测5+上下20+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0457,0.0178,3.7147,13.7992,0.019,0.6503,0.0188,4.8912
20231210181058_,行情8+预测5+上下15+size64+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,15,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0514,0.0168,4.175,17.431,0.0176,0.6386,0.0177,5.9659
20231210191937_,行情8+预测5+上下35+size32+小波0,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,32,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0715,0.022,5.8154,33.819,0.0253,0.9239,0.0254,6.7661
