ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231219071021_,"行情9(+close),64,cat_real2,static_cat1,rbio1.5-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",rbio1.5,0.0381,0.0147,4.398,19.3426,0.0198,0.6914,0.02,7.0133
20231219062701_,"行情9(+close),64,cat_real2,static_cat1,rbio1.3-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",rbio1.3,0.0381,0.0147,4.398,19.3426,0.0198,0.6914,0.02,7.0133
20231219054339_,"行情9(+close),64,cat_real2,static_cat1,bior6.8-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",bior6.8,0.0727,0.0283,8.3669,70.005,0.0314,1.2612,0.0305,6.6928
20231219050010_,"行情9(+close),64,cat_real2,static_cat1,bior5.5-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",bior5.5,0.0395,0.0126,4.557,20.7663,0.0165,0.7257,0.0165,5.7852
20231219041644_,"行情9(+close),64,cat_real2,static_cat1,bior4.4-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",bior4.4,0.0684,0.0167,7.8796,62.0877,0.0175,0.627,0.0176,6.2131
20231219033325_,"行情9(+close),64,cat_real2,static_cat1,bior3.1-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",bior3.1,0.0663,0.0234,7.6239,58.1245,0.0324,1.0685,0.0332,10.6149
20231219024937_,"行情9(+close),64,cat_real2,static_cat1,bior2.2-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",bior2.2,0.0635,0.0245,7.2982,53.2643,0.0227,0.7759,0.0222,5.9299
20231219020614_,"行情9(+close),64,cat_real2,static_cat1,bior1.5-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",bior1.5,0.0857,0.0269,9.8746,97.5078,0.0339,1.301,0.0351,9.709
20231219012251_,"行情9(+close),64,cat_real2,static_cat1,db35-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",db35,0.2104,0.0613,24.5536,602.8801,0.0747,2.5942,0.0705,11.59
20231219003936_,"行情9(+close),64,cat_real2,static_cat1,db25-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",db25,0.1629,0.0408,18.5143,342.7781,0.0329,1.0809,0.0338,8.3207
